17371.026	0.9	1.8	-0.1	0	0	0	0
17371.626	0.6	1.6	0	0	0	0	0
17372.226	0.2	1.2	0.1	0	0	0	0
17372.826	-0.5	1	0.1	0	0	0	0
17373.426	-0.8	1.8	-1	0	0	0	0
17374.026	-0.5	1.6	-1.1	0	0	0	0
17374.626	-0.6	1.4	-1.2	0	0	0	0
17375.226	-0.7	1.1	-1.1	0	0	0	0
17375.826	-0.8	0.9	-1	0	0	0	0
17376.426	-0.9	0.6	-0.9	-0.3	0.8	-1	0.1
17377.026	-0.8	0.2	-0.9	0.2	1.1	-1.3	-0.1
17377.626	-0.5	0	-1.4	0.8	1.1	-1.2	-0.1
17378.226	-0.3	-0.1	-2	1.3	1.2	-0.9	-0.3
17378.826	-0.3	-0.2	-2.5	1.3	1.2	-1	-0.7
17379.426	-0.5	-0.6	-2.7	0.7	0.9	-1.2	-1.5
17380.026	-0.6	-1.2	-2.2	0.2	0.5	-1.2	-2.3
17380.626	-0.3	-1.9	-1.3	-0.3	-0.2	-0.5	-2.4
17381.226	-0.2	-2.7	0	-0.9	-0.8	0.2	-2.5
17381.826	-0.3	-3.1	1	-1.2	-1.1	0.4	-2.7
17382.426	-0.2	-3.4	1.9	-1.3	-1.1	0.2	-2.9
17383.026	-0.2	-3.3	2.3	-1.7	-1	0.1	-2.7
17383.626	-0.2	-2.9	2.2	-1.6	-0.7	0.3	-1.9
17384.226	-0.2	-2.2	1.7	-1.2	-0.4	0.9	-0.5
17384.826	0	-1.7	1.2	-1	-0.4	1.2	0.6
17385.426	0.4	-1.1	0.3	-0.3	0.3	0.5	0.9
17386.026	0.4	-0.7	-0.3	0.8	1.4	-0.7	0.3
17386.626	0.6	-0.5	-0.6	1.6	1.7	-1.3	-0.1
17387.226	0.8	-0.6	-0.7	1.8	1.7	-1.5	-0.4
17387.826	1.1	-0.7	-0.5	2	1.4	-1.4	-0.6
17388.426	1.5	-0.9	0	2.1	1	-1.4	-0.8
17389.026	1.7	-1.1	0.6	2.1	0.7	-1.5	-1
17389.626	2	-1.2	1.2	2.3	0.7	-1.8	-1.3
17390.226	2.2	-1.3	1.5	2.1	0.4	-1.6	-1.3
17390.826	2.1	-1.1	1.1	1.5	-0.2	-1.2	-0.9
17391.426	1.9	-0.6	0	0.9	-0.5	-0.8	-0.2
17392.026	1.6	-0.1	-1.3	0.3	-0.5	-0.6	0.4
17392.626	1.3	0.2	-2.1	-0.2	-0.2	-0.3	1
17393.226	1.1	0	-2	-0.4	0.1	0.3	1.3
17393.826	1	-0.5	-1.4	-0.6	0.2	0.7	1.3
17394.426	0.8	-1.2	-0.4	-0.9	0.1	1.4	1.3
17395.026	0.6	-1.8	0.4	-1.2	0	2.2	1.4
17395.626	0.4	-2	0.7	-1	0.3	2.9	1.7
17396.226	0.4	-1.9	0.7	-0.6	0.4	3.4	1.9
17396.826	0.6	-1.6	0.6	-0.2	0.1	3.5	2
17397.426	1.2	-1.4	0.7	0.2	-0.3	3.4	1.7
17398.026	1.8	-1.3	1	0.5	-0.9	2.7	1
17398.626	1.8	-1.2	1.2	0.2	-1.3	1.6	0.2
17399.226	1.8	-1	1.2	0.3	-1.1	0.4	-0.4
17399.826	1.6	-0.8	1.2	0.2	-0.9	-0.5	-0.7
17400.426	1.3	-0.4	1.2	0.1	-0.8	-1.6	-1
17401.026	0.9	-0.1	1	-0.6	-0.8	-2.4	-1.4
17401.626	0.4	0.2	0.6	-0.9	-0.5	-2.7	-1.5
17402.226	0	0.4	0	-1.1	0.1	-2.6	-1.1
17402.826	-0.5	0.7	-0.6	-1.2	0.6	-2.3	-0.6
17403.426	-0.4	0.9	-1.1	-0.5	1.3	-1.8	0.2
17404.026	-0.2	0.8	-1.2	-0.1	1.5	-1.3	0.6
17404.626	0.1	0.5	-1	0.2	1.3	-0.9	0.6
17405.226	0.3	0.1	-0.8	0.3	1.2	-0.5	0.5
17405.826	0.6	-0.2	-0.7	0.6	1.3	0.2	0.8
17406.426	0.9	-0.4	-0.7	0.8	1.3	0.9	1
17407.026	1.1	-0.5	-0.7	1.2	1.1	1	0.8
17407.626	1.3	-0.7	-0.6	1.1	0.6	0.9	0.3
17408.226	1.2	-0.9	-0.4	0.5	0.1	0.9	0.1
17408.826	1.1	-1	-0.1	0.1	-0.3	1.1	0.2
17409.426	0.9	-1.2	0.3	-0.5	-0.7	1.8	0.7
17410.026	1	-1.3	0.4	-0.4	-1.1	2.4	1.4
17410.626	1.6	-1.3	0.3	0.2	-1.4	2.1	1.2
17411.226	2	-1.1	0	0.4	-1.5	1.4	0.8
17411.826	2.1	-1	-0.1	0.5	-1.5	1.2	0.7
17412.426	1.9	-0.9	0	0.2	-1.5	1.3	0.9
17413.026	1.9	-1	0.2	0.4	-1.3	1.5	1.2
17413.626	1.8	-1.1	0.5	0.5	-1	1.4	1.3
17414.226	1.4	-1.1	0.6	0.7	-0.2	0.8	1
17414.826	0.6	-1	0.5	0.5	0.5	0.1	0.6
17415.426	-0.4	-0.8	0.3	-0.2	1.1	-0.5	0.1
17416.026	-0.7	-0.7	-0.1	-0.8	1.3	-0.8	0
17416.626	-0.8	-0.5	-0.7	-1	1.1	-0.9	-0.2
17417.226	-0.8	-0.5	-1.1	-1	1	-1	-0.2
17417.826	-0.8	-0.5	-1.2	-0.8	1.1	-1	-0.3
17418.426	-0.6	-0.8	-0.9	-0.5	1.1	-1.2	-0.6
17419.026	-0.2	-1.1	-0.4	-0.3	0.8	-1.2	-0.8
17419.626	0.4	-1.5	0	0	0	-1	-1
17420.226	0.6	-1.7	0.2	0.1	-0.6	-0.6	-0.8
17420.826	0.7	-1.7	0	0.3	-0.6	-0.3	-0.6
17421.426	0.6	-1.6	-0.2	0.5	-0.2	-0.2	-0.5
17422.026	0.4	-1.5	-0.5	0.3	0.1	-0.6	-0.9
17422.626	0.4	-1.5	-0.5	0.4	0.1	-1.2	-1.6
17423.226	0.3	-1.6	-0.3	0.3	-0.1	-1.6	-2.2
17423.826	0.2	-1.8	-0.1	0.3	-0.2	-1.7	-2.3
17424.426	0	-1.9	0.1	0.3	0.1	-1.7	-2.3
17425.026	0	-2	0.3	0.6	0.6	-1.7	-2
